unique_sample_id,class_id,class_name,component_id,area_pixels,centroid_y,centroid_x
Normal__N_15.jpg,14,L2,7,182,504.1208791208791,103.96703296703296
Normal__N_15.jpg,15,L3,2,8009,495.1836683730803,159.51154950680484
Normal__N_15.jpg,16,L4,2,6135,542.3898940505297,163.51344743276283
Normal__N_15.jpg,16,L4,4,41,514.0243902439024,131.97560975609755
Normal__N_15.jpg,17,L5,2,3032,572.6052110817942,172.0887203166227
Normal__N_15.jpg,17,L5,5,49,559.3673469387755,119.57142857142857
Normal__N_18.jpg,1,T1,1,2247,69.66622162883846,195.38006230529595
Normal__N_18.jpg,2,T2,1,2110,93.07867298578199,188.73791469194313
Normal__N_18.jpg,3,T3,1,3868,130.39348500517062,182.61168562564632
Normal__N_18.jpg,4,T4,2,1007,162.95729890764648,179.6196623634558
Normal__N_18.jpg,5,T5,1,881,174.93984108967084,197.54256526674234
Normal__N_18.jpg,5,T5,11,31,183.61290322580646,142.29032258064515
Normal__N_18.jpg,5,T5,21,61,189.24590163934425,150.62295081967213
Normal__N_18.jpg,5,T5,51,64,202.875,211.328125
Normal__N_18.jpg,6,T6,7,2259,201.4183266932271,180.52766710934043
Normal__N_18.jpg,6,T6,34,75,215.64,133.77333333333334
Normal__N_18.jpg,6,T6,48,68,234.91176470588235,173.76470588235293
Normal__N_18.jpg,7,T7,1,2891,235.30750605326875,166.28744379107576
Normal__N_18.jpg,8,T8,1,2397,265.26408010012517,167.76720901126407
Normal__N_18.jpg,9,T9,4,2886,293.007623007623,172.25259875259874
Normal__N_18.jpg,10,T10,1,2641,321.2559636501325,171.56266565694813
Normal__N_18.jpg,10,T10,3,33,304.45454545454544,132.3939393939394
Normal__N_18.jpg,11,T11,1,3761,352.31826641850574,173.05184791278916
Normal__N_18.jpg,12,T12,3,4249,386.42810072958343,156.20969639915273
Normal__N_18.jpg,13,L1,1,3680,421.2921195652174,147.58478260869566
Normal__N_18.jpg,14,L2,1,4331,454.6377280073886,143.82405910875087
Normal__N_18.jpg,15,L3,1,5883,493.96005439401665,136.57147713751488
Normal__N_18.jpg,16,L4,1,6021,535.1821956485634,142.16791230692576
Normal__N_18.jpg,16,L4,7,31,562.0322580645161,123.3225806451613
Normal__N_18.jpg,17,L5,2,6045,573.6774193548387,137.85359801488835
Normal__N_19.jpg,1,T1,1,190,94.73157894736842,207.75263157894736
Normal__N_19.jpg,1,T1,2,1832,112.67849344978166,203.42194323144105
Normal__N_19.jpg,1,T1,3,102,97.38235294117646,235.8921568627451
Normal__N_19.jpg,2,T2,1,1999,135.07003501750876,205.4072036018009
Normal__N_19.jpg,3,T3,1,1125,154.32888888888888,205.73422222222223
Normal__N_19.jpg,3,T3,2,40,155.275,167.375
Normal__N_19.jpg,4,T4,3,194,161.14948453608247,170.73711340206185
Normal__N_19.jpg,4,T4,4,79,154.9493670886076,196.22784810126583
Normal__N_19.jpg,4,T4,15,293,167.54266211604096,219.81911262798636
Normal__N_19.jpg,5,T5,1,1683,181.28995840760547,201.44147355912062
Normal__N_19.jpg,5,T5,22,39,211.51282051282053,229.48717948717947
Normal__N_19.jpg,5,T5,31,150,257.58666666666664,177.52666666666667
Normal__N_19.jpg,6,T6,7,1822,206.6822173435785,197.38254665203073
Normal__N_19.jpg,7,T7,1,2493,239.28198957079823,192.7492980344966
Normal__N_19.jpg,8,T8,1,2081,272.155694377703,195.59346468044208
Normal__N_19.jpg,9,T9,3,2189,299.2818638647784,198.68661489264505
Normal__N_19.jpg,10,T10,1,2690,324.76877323420075,187.68289962825278
Normal__N_19.jpg,11,T11,3,2978,354.7901276024177,190.33075889858966
Normal__N_19.jpg,12,T12,3,3686,386.76044492674987,181.11964188822571
Normal__N_19.jpg,13,L1,2,3659,422.68570647717956,178.34954905711942
Normal__N_19.jpg,14,L2,3,3790,458.3646437994723,168.84063324538258
Normal__N_19.jpg,15,L3,1,40,463.875,171.525
Normal__N_19.jpg,15,L3,2,4247,493.8752060277843,162.46927242759594
Normal__N_19.jpg,16,L4,4,5639,532.608441212981,144.3959921971981
Normal__N_19.jpg,16,L4,9,53,562.566037735849,78.09433962264151
Normal__N_19.jpg,17,L5,4,5499,573.4151663938898,131.1611202036734
Normal__N_23.jpg,1,T1,1,121,93.82644628099173,147.8512396694215
Normal__N_23.jpg,1,T1,2,1753,114.02681118083285,140.52481460353678
Normal__N_23.jpg,2,T2,1,2536,138.45938485804416,143.59187697160883
Normal__N_23.jpg,3,T3,2,177,141.76271186440678,146.83050847457628
Normal__N_23.jpg,3,T3,24,253,162.35177865612647,169.45454545454547
Normal__N_23.jpg,3,T3,25,56,158.0,144.10714285714286
Normal__N_23.jpg,4,T4,3,62,156.88709677419354,101.58064516129032
Normal__N_23.jpg,4,T4,6,656,165.6158536585366,136.39329268292684
Normal__N_23.jpg,4,T4,12,194,170.55670103092783,170.5721649484536
Normal__N_23.jpg,5,T5,2,542,165.5608856088561,100.76383763837639
